,Country,Variable,Year,Unit,Value
100,Qatar,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,401.38
101,Qatar,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,376.3
102,Qatar,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,369.39
103,Qatar,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,359.12
104,Qatar,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,341.62
105,Qatar,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,338.66
106,Qatar,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,295.77
107,Qatar,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,262.95
108,Qatar,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,235.99
109,Qatar,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,217.68
110,Qatar,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,200.56
111,Qatar,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,190.88
112,Qatar,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,185.64
113,Qatar,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,183.12
114,Qatar,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,180.22
115,Qatar,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,175.4
116,Qatar,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,174.64
117,Qatar,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,176.32
118,Qatar,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,183.6
119,Qatar,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,191.37
120,Ukraine,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,1078.55
121,Ukraine,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,1139.11
122,Ukraine,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,1196.15
123,Ukraine,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,1253.84
124,Ukraine,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,1296.87
125,Ukraine,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,1360.63
126,Ukraine,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,1324.66
127,Ukraine,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,1266.8
128,Ukraine,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,1184.61
129,Ukraine,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,1211.57
130,Ukraine,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,1243.65
131,Ukraine,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,1231.7
132,Ukraine,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,1263.45
133,Ukraine,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,1273.54
134,Ukraine,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,1304.94
135,Ukraine,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,1338.86
136,Ukraine,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,1288.71
137,Ukraine,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,1320.42
138,Ukraine,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,1322.28
139,Ukraine,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,1213.08
140,Ukraine,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,1182.53
141,Ukraine,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,1131.15
142,Ukraine,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,1113.19
143,Ukraine,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,1078.16
144,Ukraine,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,986.79
145,Ukraine,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,1125.83
146,Ukraine,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,1010.95
147,Ukraine,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,946.67
148,Ukraine,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,973.57
149,Ukraine,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,975.99
150,Netherlands,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,573.83
151,Netherlands,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,561.75
152,Netherlands,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,552.41
153,Netherlands,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,556.07
154,Netherlands,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,538.07
155,Netherlands,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,530.67
156,Netherlands,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,522.36
157,Netherlands,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,505.56
158,Netherlands,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,493.74
159,Netherlands,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,485.0
160,Netherlands,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,470.71
161,Netherlands,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,452.51
162,Netherlands,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,436.36
163,Netherlands,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,417.18
164,Netherlands,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,390.03
165,Netherlands,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,374.05
166,Netherlands,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,362.15
167,Netherlands,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,353.25
168,Netherlands,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,350.95
169,Netherlands,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,347.44
170,Netherlands,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,343.41
171,Netherlands,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,331.21
172,Netherlands,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,314.64
173,Netherlands,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,291.12
174,Netherlands,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,268.63
175,Netherlands,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,263.41
176,Netherlands,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,264.05
177,Netherlands,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,266.8
178,Netherlands,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,267.69
179,Netherlands,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,267.26
180,Bolivia,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,432.73
181,Bolivia,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,428.37
182,Bolivia,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,421.07
183,Bolivia,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,413.05
184,Bolivia,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,401.38
185,Bolivia,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,391.8
186,Bolivia,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,373.31
187,Bolivia,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,350.99
188,Bolivia,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,324.5
189,Bolivia,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,303.03
190,Bolivia,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,290.21
191,Bolivia,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,283.02
192,Bolivia,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,278.25
193,Bolivia,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,274.87
194,Bolivia,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,272.66
195,Bolivia,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,272.65
196,Bolivia,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,277.09
197,Bolivia,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,288.0
198,Bolivia,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,300.42
199,Bolivia,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,311.04
200,Bolivia,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,316.6
201,Bolivia,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,318.79
202,Bolivia,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,319.16
203,Bolivia,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,319.66
204,Bolivia,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,318.85
205,Bolivia,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,318.9
206,Bolivia,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,322.39
207,Bolivia,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,327.47
208,Bolivia,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,332.43
209,Bolivia,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,337.48
210,Tunisia,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,394.78
211,Tunisia,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,409.64
212,Tunisia,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,419.63
213,Tunisia,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,430.99
214,Tunisia,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,434.36
215,Tunisia,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,457.36
216,Tunisia,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,473.26
217,Tunisia,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,502.39
218,Tunisia,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,530.65
219,Tunisia,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,550.32
220,Tunisia,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,558.27
221,Tunisia,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,560.66
222,Tunisia,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,561.41
223,Tunisia,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,561.29
224,Tunisia,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,561.17
225,Tunisia,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,563.99
226,Tunisia,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,570.27
227,Tunisia,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,582.0
228,Tunisia,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,597.41
229,Tunisia,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,610.77
230,Tunisia,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,621.3
231,Tunisia,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,622.45
232,Tunisia,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,620.17
233,Tunisia,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,618.45
234,Tunisia,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,614.59
235,Tunisia,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,612.59
236,Tunisia,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,609.77
237,Tunisia,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,610.33
238,Tunisia,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,617.1
239,Tunisia,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,627.56
240,Iran,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,435.05
241,Iran,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,431.97
242,Iran,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,431.09
243,Iran,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,433.64
244,Iran,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,439.35
245,Iran,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,444.99
246,Iran,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,453.17
247,Iran,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,464.42
248,Iran,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,474.95
249,Iran,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,484.61
250,Iran,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,491.29
251,Iran,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,495.28
252,Iran,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,495.54
253,Iran,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,494.35
254,Iran,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,490.52
255,Iran,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,488.1
256,Iran,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,488.62
257,Iran,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,487.83
258,Iran,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,488.59
259,Iran,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,492.72
260,Iran,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,493.2
261,Iran,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,487.55
262,Iran,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,488.07
263,Iran,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,496.98
264,Iran,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,505.04
265,Iran,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,515.1
266,Iran,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,510.32
267,Iran,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,505.75
268,Iran,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,501.71
269,Iran,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,503.57
270,Sweden,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,314.52
271,Sweden,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,300.8
272,Sweden,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,284.87
273,Sweden,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,272.66
274,Sweden,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,253.33
275,Sweden,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,245.67
276,Sweden,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,239.61
277,Sweden,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,233.15
278,Sweden,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,228.01
279,Sweden,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,223.28
280,Sweden,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,215.01
281,Sweden,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,203.77
282,Sweden,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,188.84
283,Sweden,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,170.4
284,Sweden,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,156.2
285,Sweden,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,147.06
286,Sweden,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,144.25
287,Sweden,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,142.35
288,Sweden,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,140.07
289,Sweden,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,138.05
290,Sweden,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,134.56
291,Sweden,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,126.77
292,Sweden,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,111.62
293,Sweden,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,94.09
294,Sweden,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,78.9
