pollution_de_l_air,titre,date_de_publication,publié_dans,publié_dansLabel
http://www.wikidata.org/entity/Q28744680,The effects of hourly differences in air pollution on the risk of myocardial infarction: case crossover analysis of the MINAP database,2011-09-20T00:00:00Z,http://www.wikidata.org/entity/Q546003,British Medical Journal
http://www.wikidata.org/entity/Q28748542,"Air pollution and emergency department visits for otitis media: a case-crossover study in Edmonton, Canada",2010-11-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28748694,A study protocol to evaluate the relationship between outdoor air pollution and pregnancy outcomes,2010-10-15T00:00:00Z,http://www.wikidata.org/entity/Q15767009,BMC Public Health
http://www.wikidata.org/entity/Q28748943,Sources of indoor air pollution and respiratory health in preschool children,2009-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15756877,Journal of Environmental and Public Health
http://www.wikidata.org/entity/Q28748943,Sources of indoor air pollution and respiratory health in preschool children,2010-02-03T00:00:00Z,http://www.wikidata.org/entity/Q15756877,Journal of Environmental and Public Health
http://www.wikidata.org/entity/Q28749203,Traffic-related air pollution and incident type 2 diabetes: results from the SALIA cohort study,2010-09-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28749217,Episodic exposure to fine particulate air pollution decreases circulating levels of endothelial progenitor cells,2010-07-23T00:00:00Z,http://www.wikidata.org/entity/Q2599020,Circulation Research
http://www.wikidata.org/entity/Q28749271,"Multi-criteria Analysis of Air Pollution with SO(2) and PM(10) in Urban Area Around the Copper Smelter in Bor, Serbia",2009-06-30T00:00:00Z,http://www.wikidata.org/entity/Q15757013,"Water, Air and Soil Pollution"
http://www.wikidata.org/entity/Q28749365,Decline in air pollution and change in prevalence in respiratory symptoms and chronic obstructive pulmonary disease in elderly women,2010-08-22T00:00:00Z,http://www.wikidata.org/entity/Q7315904,Respiratory Research
http://www.wikidata.org/entity/Q28749412,Association between local traffic-generated air pollution and preeclampsia and preterm delivery in the south coast air basin of California,2009-11-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28749641,Ambient air pollution and risk for ischemic stroke and transient ischemic attack,2008-07-01T00:00:00Z,http://www.wikidata.org/entity/Q564414,Annals of Neurology
http://www.wikidata.org/entity/Q28750017,Cap and trade legislation for greenhouse gas emissions: public health benefits from air pollution mitigation,2010-01-06T00:00:00Z,http://www.wikidata.org/entity/Q1470970,Journal of the American Medical Association
http://www.wikidata.org/entity/Q28750460,Effect of ambient air pollution on the incidence of appendicitis,2009-10-05T00:00:00Z,http://www.wikidata.org/entity/Q5030320,Journal de l'Association médicale canadienne
http://www.wikidata.org/entity/Q28750486,Sensitivity of air pollution-induced premature mortality to precursor emissions under the influence of climate change,2010-05-01T00:00:00Z,http://www.wikidata.org/entity/Q6051382,International Journal of Environmental Research and Public Health
http://www.wikidata.org/entity/Q28751064,Air pollution and hospitalization for headache in Chile,2009-10-15T00:00:00Z,http://www.wikidata.org/entity/Q4744243,American Journal of Epidemiology
http://www.wikidata.org/entity/Q28751502,Indoor air pollution and the health of children in biomass- and fossil-fuel users of Bangladesh: situation in two different seasons,2010-01-21T00:00:00Z,http://www.wikidata.org/entity/Q15749802,Environmental Health and Preventive Medicine
http://www.wikidata.org/entity/Q28751820,"Outdoor air pollution, genetic susceptibility, and asthma management: opportunities for intervention to reduce the burden of asthma",2009-03-01T00:00:00Z,http://www.wikidata.org/entity/Q7159238,Pediatrics
http://www.wikidata.org/entity/Q28752035,Air pollution exposures and circulating biomarkers of effect in a susceptible population: clues to potential causal component mixtures and mechanisms,2009-08-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28752318,Particulate air pollution and chronic ischemic heart disease in the eastern United States: a county level ecological study using satellite aerosol data,2009-06-12T00:00:00Z,http://www.wikidata.org/entity/Q15733766,Environmental Health
http://www.wikidata.org/entity/Q28752401,Emergency admissions for cardiovascular and respiratory diseases and the chemical composition of fine particle air pollution,2009-06-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28752476,Air pollution and population health: a global challenge,2008-03-01T00:00:00Z,http://www.wikidata.org/entity/Q15749802,Environmental Health and Preventive Medicine
http://www.wikidata.org/entity/Q28754899,Air pollution and asthma severity in adults,2009-03-01T00:00:00Z,http://www.wikidata.org/entity/Q7075795,Occupational and Environmental Medicine
http://www.wikidata.org/entity/Q28755147,Personal and ambient air pollution exposures and lung function decrements in children with asthma,2008-04-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28755724,Mitochondrial complex III-generated oxidants activate ASK1 and JNK to induce alveolar epithelial cell death following exposure to particulate matter air pollution,2008-11-25T00:00:00Z,http://www.wikidata.org/entity/Q867727,Journal of Biological Chemistry
http://www.wikidata.org/entity/Q28755939,"Traffic-related air pollution and respiratory symptoms among asthmatic children, resident in Mexico City: the EVA cohort study",2008-11-16T00:00:00Z,http://www.wikidata.org/entity/Q7315904,Respiratory Research
http://www.wikidata.org/entity/Q28756468,"Air pollution, human health, climate change and you",2007-09-01T00:00:00Z,http://www.wikidata.org/entity/Q7796158,Thorax
http://www.wikidata.org/entity/Q28756508,Mechanisms and implications of air pollution particle associations with chemokines,2008-11-01T00:00:00Z,http://www.wikidata.org/entity/Q2446974,Toxicology and Applied Pharmacology
http://www.wikidata.org/entity/Q28756697,Air pollution and inflammation in type 2 diabetes: a mechanism for susceptibility,2007-06-01T00:00:00Z,http://www.wikidata.org/entity/Q7075795,Occupational and Environmental Medicine
http://www.wikidata.org/entity/Q28756936,"Recent epidemiological studies of lung cancer mortality cigarette smoking and air pollution, with discussion of a new hypothesis of causation",1966-12-01T00:00:00Z,http://www.wikidata.org/entity/Q326309,British Journal of Cancer
http://www.wikidata.org/entity/Q28757090,Air Pollution: Urban Grime Recycles Toxics,,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28757164,Public Health and Air Pollution in Asia (PAPA): a multicity study of short-term effects of air pollution on mortality,2008-09-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28757179,Progress in medical research on air pollution,1958-12-01T00:00:00Z,http://www.wikidata.org/entity/Q26842736,Public Health Reports
http://www.wikidata.org/entity/Q28757211,Effects of air pollution on health,2007-08-18T00:00:00Z,http://www.wikidata.org/entity/Q546003,British Medical Journal
http://www.wikidata.org/entity/Q28757666,"Air pollution, bronchitis and lung cancer",1966-11-01T00:00:00Z,http://www.wikidata.org/entity/Q7234294,Postgraduate Medical Journal
http://www.wikidata.org/entity/Q28757670,Air pollution from biomass burning and asthma hospital admissions in a sugar cane plantation area in Brazil,2007-05-01T00:00:00Z,http://www.wikidata.org/entity/Q3428712,Revue d’épidémiologie et de santé publique
http://www.wikidata.org/entity/Q28757899,"Air pollution, airway inflammation, and lung function in a cohort study of Mexico City schoolchildren",2008-06-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28763456,Evaluation of research strategies for investigation of health effects of air pollution,1978-12-01T00:00:00Z,http://www.wikidata.org/entity/Q23929973,Bulletin of the New York Academy of Medicine
http://www.wikidata.org/entity/Q28763487,The psychological effects of indoor air pollution,1981-12-01T00:00:00Z,http://www.wikidata.org/entity/Q23929973,Bulletin of the New York Academy of Medicine
http://www.wikidata.org/entity/Q28763602,The effects of components of fine particulate air pollution on mortality in california: results from CALFINE,2007-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28763635,Indoor air pollution in developing countries: a major environmental and public health challenge,2000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2928049,Bulletin de l'Organisation mondiale de la santé
http://www.wikidata.org/entity/Q28763758,THE NATURE OF AIR POLLUTION AND THE METHODS AVAILABLE FOR MEASURING IT,1965-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2928049,Bulletin de l'Organisation mondiale de la santé
http://www.wikidata.org/entity/Q28763794,The impact of global warming and air pollution on patient visits in the emergency department,2001-07-01T00:00:00Z,http://www.wikidata.org/entity/Q27722950,The California journal of emergency medicine
http://www.wikidata.org/entity/Q28763864,Why cardiologists should be interested in air pollution,2003-12-01T00:00:00Z,http://www.wikidata.org/entity/Q856338,Heart
http://www.wikidata.org/entity/Q28764199,Traffic related air pollution as a determinant of asthma among Taiwanese school children,2005-06-01T00:00:00Z,http://www.wikidata.org/entity/Q7796158,Thorax
http://www.wikidata.org/entity/Q28764221,Indoor air pollution in developing countries and acute lower respiratory infections in children,2000-06-01T00:00:00Z,http://www.wikidata.org/entity/Q7796158,Thorax
http://www.wikidata.org/entity/Q28764258,Twenty five year mortality and air pollution: results from the French PAARC survey,2005-07-01T00:00:00Z,http://www.wikidata.org/entity/Q7075795,Occupational and Environmental Medicine
http://www.wikidata.org/entity/Q28764288,"NO2, as a marker of air pollution, and recurrent wheezing in children: a nested case-control study within the BAMSE birth cohort",2003-11-01T00:00:00Z,http://www.wikidata.org/entity/Q7075795,Occupational and Environmental Medicine
http://www.wikidata.org/entity/Q28764298,The EMECAM project: a multicentre study on air pollution and mortality in Spain: combined results for particulates and for sulfur dioxide,2002-05-01T00:00:00Z,http://www.wikidata.org/entity/Q7075795,Occupational and Environmental Medicine
http://www.wikidata.org/entity/Q28764801,Residential releases of number 2 fuel oil: a contributor to indoor air pollution,1993-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26842374,American Journal of Public Health and the Nation's Health
http://www.wikidata.org/entity/Q28766297,Air pollution: II--Road traffic and modern industry,1991-12-14T00:00:00Z,http://www.wikidata.org/entity/Q546003,British Medical Journal
http://www.wikidata.org/entity/Q28766354,Personal and ambient air pollution is associated with increased exhaled nitric oxide in children with asthma,2006-11-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28766644,Outdoor air pollution and lung cancer,2000-08-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28766673,Trends in urban air pollution in the United Kingdom in relation to lung cancer mortality,1978-02-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28766684,Late effects of air pollution with special reference to lung cancer,1978-02-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28766690,Air pollution and cancer-risk assessment methodology and epidemiological evidence: A preface,1978-02-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28766697,Air pollution and cancer: risk assessment methodology and epidemiological evidence. Report of a task group,1978-02-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28767361,"Air pollution is a major threat to health, says WHO",2006-10-07T00:00:00Z,http://www.wikidata.org/entity/Q546003,British Medical Journal
http://www.wikidata.org/entity/Q28767650,Assessment of the epidemiological data relating lung cancer to air pollution,1983-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28767816,On cancer risk estimation of urban air pollution,1994-10-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28767828,"Temperature and air pollution as risk factors for heat stroke in Tokyo, July and August 1980-1995",1999-11-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28767839,Biomarkers for exposure to ambient air pollution--comparison of carcinogen-DNA adduct levels with other exposure markers and markers for oxidative stress,1999-03-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q28767936,The effects of outdoor air pollution on chronic illnesses,2009-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6801283,McGill Journal of Medicine
http://www.wikidata.org/entity/Q28768216,Relation between air pollution and allergic rhinitis in Taiwanese schoolchildren,2006-02-09T00:00:00Z,http://www.wikidata.org/entity/Q7315904,Respiratory Research
http://www.wikidata.org/entity/Q28768222,"Air pollution, climate, and home heating: their effects on U.S. mortality rates",1972-07-01T00:00:00Z,http://www.wikidata.org/entity/Q26842374,American Journal of Public Health and the Nation's Health
http://www.wikidata.org/entity/Q331611,,,,
http://www.wikidata.org/entity/Q3798422,,,,
http://www.wikidata.org/entity/Q4698813,,,,
http://www.wikidata.org/entity/Q19096342,AN ACT PROVIDING FOR A COMPREHENSIVE AIR POLLUTION CONTROL POLICY AND FOR OTHER PURPOSES,1999-06-23T00:00:00Z,,
http://www.wikidata.org/entity/Q19272899,,2015-02-14T00:00:00Z,,
http://www.wikidata.org/entity/Q19403851,穹顶之下,2015-02-28T00:00:00Z,,
http://www.wikidata.org/entity/Q21090127,Fine particulate air pollution and the progression of carotid intima-medial thickness: a prospective cohort study from the multi-ethnic study of atherosclerosis and air pollution,2013-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1686921,PLOS Medicine
http://www.wikidata.org/entity/Q21092322,Air Pollution and the microvasculature: a cross-sectional assessment of in vivo retinal images in the population-based multi-ethnic study of atherosclerosis (MESA),2010-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1686921,PLOS Medicine
http://www.wikidata.org/entity/Q21093287,Subclinical responses in healthy cyclists briefly exposed to traffic-related air pollution: an intervention study,2010-10-25T00:00:00Z,http://www.wikidata.org/entity/Q15733766,Environmental Health
http://www.wikidata.org/entity/Q21129023,Severe ozone air pollution in the Persian Gulf region,2009-01-01T00:00:00Z,http://www.wikidata.org/entity/Q757509,Atmospheric Chemistry and Physics
http://www.wikidata.org/entity/Q21129051,"Air pollution and associated human mortality: the role of air pollutant emissions, climate change and methane concentration increases from the preindustrial period to present",2013-01-01T00:00:00Z,http://www.wikidata.org/entity/Q757509,Atmospheric Chemistry and Physics
http://www.wikidata.org/entity/Q21131759,"Carotid intima-media thickness, a marker of subclinical atherosclerosis, and particulate air pollution exposure: the meta-analytical evidence",2015-05-13T00:00:00Z,http://www.wikidata.org/entity/Q564954,PLOS ONE
http://www.wikidata.org/entity/Q21202123,Suspected association of ventricular arrhythmia with air pollution in a motorbike rider: a case report,2008-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6295519,Journal of Medical Case Reports
http://www.wikidata.org/entity/Q21245831,Air pollution from traffic and cancer incidence: a Danish cohort study,2011-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15733766,Environmental Health
http://www.wikidata.org/entity/Q21245831,Air pollution from traffic and cancer incidence: a Danish cohort study,2011-07-19T00:00:00Z,http://www.wikidata.org/entity/Q15733766,Environmental Health
http://www.wikidata.org/entity/Q21285060,"Air pollution, oxidative stress, and Alzheimer's disease",2012-03-15T00:00:00Z,http://www.wikidata.org/entity/Q15756877,Journal of Environmental and Public Health
http://www.wikidata.org/entity/Q21651047,A systematic review of the relation between long-term exposure to ambient air pollution and chronic diseases,2008-01-01T00:00:00Z,http://www.wikidata.org/entity/Q23582803,Reviews on Environmental Health
http://www.wikidata.org/entity/Q21651047,A Systematic Review of the Relation Between Long-term Exposure to Ambient Air Pollution and Chronic Diseases,2008-01-01T00:00:00Z,http://www.wikidata.org/entity/Q23582803,Reviews on Environmental Health
http://www.wikidata.org/entity/Q21994552,Global premature mortality due to anthropogenic outdoor air pollution and the contribution of past climate change,2013-07-11T00:00:00Z,http://www.wikidata.org/entity/Q5381163,Environmental Research Letters
http://www.wikidata.org/entity/Q22306554,Short term exposure to air pollution and stroke: systematic review and meta-analysis,2015-03-24T00:00:00Z,http://www.wikidata.org/entity/Q546003,British Medical Journal
http://www.wikidata.org/entity/Q22337161,Ambient Air Pollution and Risk of Birth Defects in Southern California,2002-01-01T00:00:00Z,http://www.wikidata.org/entity/Q4744243,American Journal of Epidemiology
http://www.wikidata.org/entity/Q22337355,"Physical Activity, Air Pollution and the Brain",2014-08-14T00:00:00Z,http://www.wikidata.org/entity/Q15762097,Sports Medicine
http://www.wikidata.org/entity/Q23664004,,2015-12-10T00:00:00Z,,
http://www.wikidata.org/entity/Q23670156,The contribution of outdoor air pollution sources to premature mortality on a global scale,2015-09-01T00:00:00Z,http://www.wikidata.org/entity/Q180445,Nature
http://www.wikidata.org/entity/Q23909935,Socioeconomic disparities and air pollution exposure: a global review,2015-09-18T00:00:00Z,http://www.wikidata.org/entity/Q23930045,Current Environmental Health Reports
http://www.wikidata.org/entity/Q23911207,Effect modification of air pollution on urinary 8-hydroxy-2'-deoxyguanosine by genotypes: an application of the multiple testing procedure to identify significant SNP interactions,2010-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15733766,Environmental Health
http://www.wikidata.org/entity/Q23911944,Organic vapor emissions from wall-to-wall carpets as a source of indoor air pollution,1996-05-01T00:00:00Z,http://www.wikidata.org/entity/Q23928898,Applied Occupational and Environmental Hygiene
http://www.wikidata.org/entity/Q23913760,Asbestos air pollution,1972-07-01T00:00:00Z,http://www.wikidata.org/entity/Q54077188,Archives of environmental health
http://www.wikidata.org/entity/Q23913797,High gasoline prices and mortality from motor vehicle crashes and air pollution,2008-03-01T00:00:00Z,http://www.wikidata.org/entity/Q6295672,Journal of Occupational and Environmental Medicine
http://www.wikidata.org/entity/Q23913941,Particle size distribution and composition in a mechanically ventilated school building during air pollution episodes,2008-10-01T00:00:00Z,http://www.wikidata.org/entity/Q15756118,Indoor Air
http://www.wikidata.org/entity/Q23915534,Association of short-term increases in ambient air pollution and timing of initial asthma diagnosis among Medicaid-enrolled children in a metropolitan area,2014-05-01T00:00:00Z,http://www.wikidata.org/entity/Q5381161,Environmental Research
http://www.wikidata.org/entity/Q23916134,Influence of air pollution on respiratory health during perinatal development,2006-03-01T00:00:00Z,http://www.wikidata.org/entity/Q5133807,Clinical and Experimental Pharmacology and Physiology
http://www.wikidata.org/entity/Q23918851,Traffic-related air pollution exposure in the first year of life and behavioral scores at 7 years of age,2013-06-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q23919115,The use of AERMOD air pollution dispersion models to estimate residential ambient concentrations of elemental mercury,2011-01-05T00:00:00Z,http://www.wikidata.org/entity/Q15757013,"Water, Air and Soil Pollution"
http://www.wikidata.org/entity/Q23920963,Demolition of high-rise public housing increases particulate matter air pollution in communities of high-risk asthmatics,2006-07-01T00:00:00Z,http://www.wikidata.org/entity/Q15762342,Journal of the Air and Waste Management Association
http://www.wikidata.org/entity/Q23924481,What constitutes an adverse health effect of air pollution?,2000-02-01T00:00:00Z,http://www.wikidata.org/entity/Q4744267,American Journal of Respiratory and Critical Care Medicine
http://www.wikidata.org/entity/Q24169680,Correction: exposure measurement error in time-series air pollution studies,2001-11-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q24187455,Strategies for reducing exposure to indoor air pollution from household burning of solid fuels: effects on acute lower respiratory infections in children under the age of 15 years,2015-09-25T00:00:00Z,http://www.wikidata.org/entity/Q15750361,Cochrane Database of Systematic Reviews
http://www.wikidata.org/entity/Q24201448,Interventions to reduce ambient particulate matter air pollution and their effect on health,2014-01-15T00:00:00Z,http://www.wikidata.org/entity/Q15750361,Cochrane Database of Systematic Reviews
http://www.wikidata.org/entity/Q24289035,"Comparison of transient associations of air pollution and AMI hospitalisation in two cities of Alberta, Canada, using a case-crossover design",2015-01-01T00:00:00Z,http://www.wikidata.org/entity/Q17003470,BMJ Open
http://www.wikidata.org/entity/Q24289232,The Global Burden of Disease Due to Outdoor Air Pollution,2005-07-01T00:00:00Z,http://www.wikidata.org/entity/Q15724532,Journal of Toxicology and Environmental Health Part A
http://www.wikidata.org/entity/Q24302327,Genetic aspects of susceptibility to air pollution,2003-05-01T00:00:00Z,http://www.wikidata.org/entity/Q12257435,European Respiratory Journal
http://www.wikidata.org/entity/Q24524284,Philippines tackles air pollution,1999-03-13T00:00:00Z,http://www.wikidata.org/entity/Q546003,British Medical Journal
http://www.wikidata.org/entity/Q24529865,"The health impacts of exposure to indoor air pollution from solid fuels in developing countries: knowledge, gaps, and data needs",2002-11-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q24533373,Does particulate air pollution contribute to infant death? A systematic review,2004-10-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
http://www.wikidata.org/entity/Q24569541,Comparative assessment of air pollution-related health risks in Houston,2007-10-01T00:00:00Z,http://www.wikidata.org/entity/Q1345904,Environmental Health Perspectives
