,Country,Year,Value
150,Finland,2010,6.97
151,Finland,2011,6.99
152,Finland,2012,6.34
153,Finland,2013,5.96
154,Finland,2014,6.23
155,Finland,2015,5.71
156,Finland,2016,5.36
157,Finland,2017,5.2
158,Finland,2018,5.57
159,Finland,2019,5.45
160,Finland,2020,4.96
161,France,1990,17.92
162,France,1995,16.91
163,France,2000,15.97
164,France,2001,15.35
165,France,2002,14.98
166,France,2003,16.64
167,France,2004,14.43
168,France,2005,14.76
169,France,2006,15.57
170,France,2007,14.8
171,France,2008,13.58
172,France,2009,13.95
173,France,2010,13.27
174,France,2011,13.65
175,France,2012,12.46
176,France,2013,12.35
177,France,2014,10.64
178,France,2015,11.29
179,France,2016,10.49
180,France,2017,10.45
181,France,2018,10.47
182,France,2019,9.83
183,France,2020,9.61
184,Germany,1990,22.81
185,Germany,1995,20.96
186,Germany,2000,18.34
187,Germany,2001,17.25
188,Germany,2002,17.89
189,Germany,2003,18.57
190,Germany,2004,16.41
191,Germany,2005,16.74
192,Germany,2006,17.55
193,Germany,2007,16.2
194,Germany,2008,15.28
195,Germany,2009,15.4
196,Germany,2010,16.46
197,Germany,2011,15.89
198,Germany,2012,14.06
199,Germany,2013,13.81
200,Germany,2014,12.42
201,Germany,2015,12.96
202,Germany,2016,11.91
203,Germany,2017,12.03
204,Germany,2018,11.78
205,Germany,2019,10.75
206,Germany,2020,10.4
207,Greece,1990,23.31
208,Greece,1995,23.11
209,Greece,2000,24.52
210,Greece,2001,22.86
211,Greece,2002,23.65
212,Greece,2003,24.88
213,Greece,2004,21.86
214,Greece,2005,22.65
215,Greece,2006,23.35
216,Greece,2007,22.61
217,Greece,2008,21.82
218,Greece,2009,21.0
219,Greece,2010,20.43
220,Greece,2011,21.5
221,Greece,2012,18.92
222,Greece,2013,18.07
223,Greece,2014,16.97
224,Greece,2015,17.38
225,Greece,2016,15.88
226,Greece,2017,15.77
227,Greece,2018,15.69
228,Greece,2019,15.05
229,Greece,2020,14.52
230,Hungary,1990,25.18
231,Hungary,1995,24.35
232,Hungary,2000,20.79
233,Hungary,2001,20.64
234,Hungary,2002,23.42
235,Hungary,2003,24.72
236,Hungary,2004,21.19
237,Hungary,2005,22.13
238,Hungary,2006,23.51
239,Hungary,2007,18.66
240,Hungary,2008,18.47
241,Hungary,2009,19.3
242,Hungary,2010,20.87
243,Hungary,2011,21.46
244,Hungary,2012,19.06
245,Hungary,2013,17.98
246,Hungary,2014,18.07
247,Hungary,2015,18.11
248,Hungary,2016,16.35
249,Hungary,2017,17.14
250,Hungary,2018,17.62
251,Hungary,2019,14.73
252,Hungary,2020,14.22
276,Ireland,1990,13.87
277,Ireland,1995,13.18
278,Ireland,2000,12.48
279,Ireland,2001,11.56
280,Ireland,2002,11.82
281,Ireland,2003,14.2
282,Ireland,2004,10.79
283,Ireland,2005,11.8
284,Ireland,2006,12.02
285,Ireland,2007,11.85
286,Ireland,2008,10.82
287,Ireland,2009,10.64
288,Ireland,2010,9.68
289,Ireland,2011,10.5
290,Ireland,2012,9.55
291,Ireland,2013,9.16
292,Ireland,2014,8.81
293,Ireland,2015,8.78
294,Ireland,2016,8.08
295,Ireland,2017,8.35
296,Ireland,2018,8.27
297,Ireland,2019,7.86
298,Ireland,2020,8.13
299,Italy,1990,27.99
300,Italy,1995,26.73
301,Italy,2000,25.79
302,Italy,2001,22.36
303,Italy,2002,23.58
304,Italy,2003,25.09
305,Italy,2004,22.41
306,Italy,2005,22.98
307,Italy,2006,23.09
308,Italy,2007,21.87
309,Italy,2008,20.53
310,Italy,2009,20.85
311,Italy,2010,19.58
312,Italy,2011,21.02
313,Italy,2012,18.49
314,Italy,2013,17.78
315,Italy,2014,16.66
316,Italy,2015,17.5
317,Italy,2016,15.48
318,Italy,2017,15.72
319,Italy,2018,16.07
320,Italy,2019,14.66
321,Italy,2020,14.42
368,Luxembourg,1990,17.31
369,Luxembourg,1995,16.19
370,Luxembourg,2000,14.23
371,Luxembourg,2001,13.61
372,Luxembourg,2002,13.68
373,Luxembourg,2003,14.96
374,Luxembourg,2004,13.27
375,Luxembourg,2005,13.51
376,Luxembourg,2006,14.13
377,Luxembourg,2007,13.08
378,Luxembourg,2008,12.35
379,Luxembourg,2009,12.39
380,Luxembourg,2010,12.01
381,Luxembourg,2011,12.7
382,Luxembourg,2012,11.36
383,Luxembourg,2013,11.69
384,Luxembourg,2014,9.98
385,Luxembourg,2015,10.37
386,Luxembourg,2016,9.59
387,Luxembourg,2017,9.59
388,Luxembourg,2018,9.28
389,Luxembourg,2019,8.46
390,Luxembourg,2020,8.67
414,Netherlands,1990,22.51
415,Netherlands,1995,21.18
416,Netherlands,2000,19.15
417,Netherlands,2001,17.35
418,Netherlands,2002,18.03
419,Netherlands,2003,19.63
420,Netherlands,2004,17.65
421,Netherlands,2005,17.34
422,Netherlands,2006,18.25
423,Netherlands,2007,16.93
424,Netherlands,2008,15.99
425,Netherlands,2009,15.69
426,Netherlands,2010,15.95
427,Netherlands,2011,16.16
428,Netherlands,2012,14.36
429,Netherlands,2013,13.29
430,Netherlands,2014,12.61
431,Netherlands,2015,13.13
432,Netherlands,2016,11.96
433,Netherlands,2017,12.71
434,Netherlands,2018,12.07
435,Netherlands,2019,11.36
436,Netherlands,2020,10.88
483,Poland,1990,31.62
484,Poland,1995,30.08
485,Poland,2000,25.83
486,Poland,2001,25.8
487,Poland,2002,29.95
488,Poland,2003,30.67
489,Poland,2004,26.59
490,Poland,2005,27.81
491,Poland,2006,29.99
492,Poland,2007,24.37
493,Poland,2008,23.38
494,Poland,2009,24.49
495,Poland,2010,26.98
496,Poland,2011,26.59
497,Poland,2012,24.17
498,Poland,2013,23.23
499,Poland,2014,23.48
500,Poland,2015,22.46
501,Poland,2016,21.29
502,Poland,2017,22.32
503,Poland,2018,22.48
504,Poland,2019,18.83
505,Poland,2020,18.02
506,Portugal,1990,13.4
507,Portugal,1995,13.13
508,Portugal,2000,13.69
509,Portugal,2001,13.12
510,Portugal,2002,13.09
511,Portugal,2003,13.93
512,Portugal,2004,12.41
513,Portugal,2005,12.71
514,Portugal,2006,13.31
515,Portugal,2007,12.72
516,Portugal,2008,11.02
517,Portugal,2009,11.08
518,Portugal,2010,10.56
519,Portugal,2011,11.28
520,Portugal,2012,9.91
521,Portugal,2013,9.59
522,Portugal,2014,9.31
523,Portugal,2015,9.48
524,Portugal,2016,8.66
525,Portugal,2017,9.09
526,Portugal,2018,8.85
527,Portugal,2019,7.85
528,Portugal,2020,8.3
552,Spain,1990,16.35
553,Spain,1995,15.17
554,Spain,2000,16.35
555,Spain,2001,15.31
556,Spain,2002,15.46
557,Spain,2003,15.86
558,Spain,2004,14.73
559,Spain,2005,14.73
560,Spain,2006,15.39
561,Spain,2007,14.78
562,Spain,2008,13.23
563,Spain,2009,13.35
564,Spain,2010,12.18
565,Spain,2011,13.66
566,Spain,2012,12.26
567,Spain,2013,11.46
568,Spain,2014,10.79
569,Spain,2015,11.48
570,Spain,2016,10.53
571,Spain,2017,10.65
572,Spain,2018,10.38
573,Spain,2019,9.55
574,Spain,2020,9.77
575,Sweden,1990,10.9
576,Sweden,1995,10.03
577,Sweden,2000,9.83
578,Sweden,2001,8.24
579,Sweden,2002,8.63
580,Sweden,2003,9.56
581,Sweden,2004,8.17
582,Sweden,2005,8.55
583,Sweden,2006,9.51
584,Sweden,2007,8.34
585,Sweden,2008,7.68
586,Sweden,2009,7.77
587,Sweden,2010,7.69
588,Sweden,2011,8.03
589,Sweden,2012,6.7
590,Sweden,2013,6.65
591,Sweden,2014,6.86
592,Sweden,2015,6.39
593,Sweden,2016,5.77
594,Sweden,2017,6.14
595,Sweden,2018,6.36
596,Sweden,2019,6.13
597,Sweden,2020,5.7
1325,Bulgaria,1990,27.83
1326,Bulgaria,1995,26.06
1327,Bulgaria,2000,25.52
1328,Bulgaria,2001,25.23
1329,Bulgaria,2002,27.83
1330,Bulgaria,2003,29.47
1331,Bulgaria,2004,25.58
1332,Bulgaria,2005,26.14
1333,Bulgaria,2006,27.44
1334,Bulgaria,2007,22.48
1335,Bulgaria,2008,23.14
1336,Bulgaria,2009,23.16
1337,Bulgaria,2010,24.31
1338,Bulgaria,2011,26.74
1339,Bulgaria,2012,23.53
1340,Bulgaria,2013,21.91
1341,Bulgaria,2014,22.42
1342,Bulgaria,2015,21.19
1343,Bulgaria,2016,20.38
1344,Bulgaria,2017,20.43
1345,Bulgaria,2018,20.12
1346,Bulgaria,2019,17.89
1347,Bulgaria,2020,17.49
1716,Croatia,1990,25.49
1717,Croatia,1995,24.55
1718,Croatia,2000,22.45
1719,Croatia,2001,22.2
1720,Croatia,2002,25.52
1721,Croatia,2003,27.17
1722,Croatia,2004,23.36
1723,Croatia,2005,24.57
1724,Croatia,2006,25.78
1725,Croatia,2007,20.43
1726,Croatia,2008,20.33
1727,Croatia,2009,21.18
1728,Croatia,2010,21.69
1729,Croatia,2011,23.41
1730,Croatia,2012,20.74
1731,Croatia,2013,20.08
1732,Croatia,2014,19.68
1733,Croatia,2015,19.99
1734,Croatia,2016,18.05
1735,Croatia,2017,18.62
1736,Croatia,2018,19.85
1737,Croatia,2019,15.82
1738,Croatia,2020,16.04
2015,Estonia,1990,11.4
2016,Estonia,1995,11.94
2017,Estonia,2000,12.04
2018,Estonia,2001,11.51
2019,Estonia,2002,12.77
2020,Estonia,2003,10.83
2021,Estonia,2004,9.96
2022,Estonia,2005,9.73
2023,Estonia,2006,9.62
2024,Estonia,2007,8.5
2025,Estonia,2008,8.34
2026,Estonia,2009,8.42
2027,Estonia,2010,9.44
2028,Estonia,2011,8.4
2029,Estonia,2012,8.12
2030,Estonia,2013,8.22
2031,Estonia,2014,8.91
2032,Estonia,2015,7.34
2033,Estonia,2016,7.03
2034,Estonia,2017,6.29
2035,Estonia,2018,7.96
2036,Estonia,2019,7.02
2037,Estonia,2020,6.3
2802,Latvia,1990,30.48
2803,Latvia,1995,28.44
2804,Latvia,2000,24.2
2805,Latvia,2001,22.2
2806,Latvia,2002,25.88
2807,Latvia,2003,22.45
2808,Latvia,2004,19.09
2809,Latvia,2005,19.49
2810,Latvia,2006,19.24
2811,Latvia,2007,16.95
2812,Latvia,2008,16.55
2813,Latvia,2009,17.03
2814,Latvia,2010,20.33
2815,Latvia,2011,16.66
2816,Latvia,2012,16.05
2817,Latvia,2013,16.48
2818,Latvia,2014,17.23
2819,Latvia,2015,14.57
2820,Latvia,2016,13.45
2821,Latvia,2017,12.43
2822,Latvia,2018,15.21
2823,Latvia,2019,13.33
2824,Latvia,2020,12.38
2940,Lithuania,1990,22.4
2941,Lithuania,1995,21.03
2942,Lithuania,2000,18.31
2943,Lithuania,2001,17.28
2944,Lithuania,2002,19.41
2945,Lithuania,2003,16.83
2946,Lithuania,2004,14.56
2947,Lithuania,2005,14.62
2948,Lithuania,2006,14.41
2949,Lithuania,2007,13.18
2950,Lithuania,2008,12.5
2951,Lithuania,2009,12.71
2952,Lithuania,2010,15.02
2953,Lithuania,2011,12.49
2954,Lithuania,2012,12.55
2955,Lithuania,2013,12.58
2956,Lithuania,2014,12.95
2957,Lithuania,2015,11.46
2958,Lithuania,2016,10.38
2959,Lithuania,2017,9.94
2960,Lithuania,2018,11.25
2961,Lithuania,2019,10.38
2962,Lithuania,2020,9.34
3101,Malta,1990,17.73
3102,Malta,1995,17.96
3103,Malta,2000,17.66
3104,Malta,2001,17.27
3105,Malta,2002,17.48
3106,Malta,2003,19.25
3107,Malta,2004,17.69
3108,Malta,2005,16.83
3109,Malta,2006,16.62
3110,Malta,2007,18.03
3111,Malta,2008,17.06
3112,Malta,2009,16.21
3113,Malta,2010,16.78
3114,Malta,2011,16.22
3115,Malta,2012,14.21
3116,Malta,2013,13.48
3117,Malta,2014,13.6
3118,Malta,2015,13.81
3119,Malta,2016,12.63
3120,Malta,2017,13.0
3121,Malta,2018,13.22
3122,Malta,2019,12.7
3123,Malta,2020,11.81
3897,Romania,1990,23.17
3898,Romania,1995,22.03
3899,Romania,2000,20.58
3900,Romania,2001,20.6
3901,Romania,2002,23.33
3902,Romania,2003,24.09
3903,Romania,2004,21.19
3904,Romania,2005,21.62
3905,Romania,2006,22.81
3906,Romania,2007,18.46
3907,Romania,2008,18.62
3908,Romania,2009,19.32
3909,Romania,2010,21.09
3910,Romania,2011,21.58
3911,Romania,2012,19.64
3912,Romania,2013,18.06
3913,Romania,2014,18.18
3914,Romania,2015,17.65
3915,Romania,2016,16.66
3916,Romania,2017,16.96
3917,Romania,2018,17.03
3918,Romania,2019,14.61
3919,Romania,2020,14.21
4265,Slovenia,1990,24.64
4266,Slovenia,1995,23.42
4267,Slovenia,2000,20.85
4268,Slovenia,2001,20.23
4269,Slovenia,2002,22.88
4270,Slovenia,2003,24.08
4271,Slovenia,2004,21.06
4272,Slovenia,2005,22.2
4273,Slovenia,2006,23.24
4274,Slovenia,2007,18.03
4275,Slovenia,2008,18.37
4276,Slovenia,2009,19.03
4277,Slovenia,2010,18.81
4278,Slovenia,2011,20.81
4279,Slovenia,2012,18.44
4280,Slovenia,2013,18.26
4281,Slovenia,2014,17.9
4282,Slovenia,2015,17.82
4283,Slovenia,2016,16.55
4284,Slovenia,2017,16.59
4285,Slovenia,2018,18.28
4286,Slovenia,2019,13.98
4287,Slovenia,2020,14.36
